bot,bot_id,side,window,base_vol,comb_vol,base_dd,comb_dd,base_net,comb_net,comb_intvs,base_trades,comb_trades,dd_delta,vol_delta_pct,net_delta
TEST_1,5196832375,short,1,29886.0,15190.0,111.92,116.89,-1.43,-0.82,623,179,87,4.969999999999999,50.82647393428361,0.61
TEST_1,5196832375,short,2,27816.0,27746.0,44.07,42.94,-7.56,-7.13,512,170,173,-1.1300000000000026,99.74834627552488,0.4299999999999997
TEST_1,5196832375,short,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,1,114561.0,22840.0,480.67,300.97,-30.68,6.36,625,205,36,-179.7,19.93697680711586,37.04
TEST_2,5017849873,short,2,73285.0,70334.0,93.05,82.85,-18.53,-21.69,509,164,691,-10.200000000000003,95.97325509995224,-3.16
TEST_2,5017849873,short,3,223636.0,144530.0,570.98,273.86,-84.86,-49.11,1191,398,1424,-297.12,64.62734085746482,35.75
TEST_2,5017849873,short,4,62276.0,20545.0,300.29,214.73,-132.98,-19.71,595,65,8,-85.56000000000003,32.99023700944184,113.26999999999998
TEST_2,5017849873,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,8,45388.0,27770.0,250.16,95.59,26.64,17.88,127,22,15,-154.57,61.18357275050674,-8.760000000000002
TEST_2,5017849873,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,1,119548.0,27037.0,429.43,281.53,-28.33,7.17,623,205,44,-147.90000000000003,22.61602034329307,35.5
TEST_3,4524162672,short,2,82900.0,78133.0,125.24,82.66,-30.99,-28.38,520,166,674,-42.58,94.2496984318456,2.6099999999999994
TEST_3,4524162672,short,3,232466.0,139780.0,614.36,196.33,-93.78,-47.22,1165,383,1388,-418.03,60.12922319823114,46.56
TEST_3,4524162672,short,4,63344.0,20923.0,316.23,234.87,-138.41,-20.69,592,63,10,-81.36000000000001,33.030752715332156,117.72
TEST_3,4524162672,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,8,48717.0,28674.0,252.28,95.59,29.17,18.86,129,26,15,-156.69,58.85830408276371,-10.310000000000002
TEST_3,4524162672,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
ШОРТ-ОБЪЁМ,5188321731,short,1,811297.0,137140.0,1889.24,391.17,-556.05,-22.89,708,365,99,-1498.07,16.9037972530405,533.16
ШОРТ-ОБЪЁМ,5188321731,short,2,513745.0,75812.0,303.87,128.64,-230.74,-6.09,164,286,39,-175.23000000000002,14.756737291847122,224.65
ШОРТ-ОБЪЁМ,5188321731,short,3,819477.0,464705.0,3908.44,654.19,-1671.16,-188.28,1759,334,1666,-3254.25,56.70750978978055,1482.88
ШОРТ-ОБЪЁМ,5188321731,short,4,519437.0,327953.0,1175.8,941.13,-471.98,-217.84,1431,207,498,-234.66999999999996,63.136241738651655,254.14000000000001
ШОРТ-ОБЪЁМ,5188321731,short,5,671821.0,85733.0,2811.88,328.03,-984.03,-23.15,1007,266,53,-2483.8500000000004,12.76128611639112,960.88
ШОРТ-ОБЪЁМ,5188321731,short,6,215815.0,213721.0,355.47,355.47,-46.36,-35.82,843,142,177,0.0,99.02972453258579,10.54
