bot,bot_id,side,window,base_vol,comb_vol,base_dd,comb_dd,base_net,comb_net,comb_intvs,base_trades,comb_trades,dd_delta,vol_delta_pct,net_delta
TEST_1,5196832375,short,1,29886.0,39367.0,111.92,122.02,-1.43,-0.65,622,179,220,10.099999999999994,131.72388409288632,0.7799999999999999
TEST_1,5196832375,short,2,27816.0,27816.0,44.07,44.07,-7.56,-7.56,224,170,170,0.0,100.0,0.0
TEST_1,5196832375,short,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_1,5196832375,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,1,114561.0,54721.0,480.67,357.69,-30.68,1.29,625,205,89,-122.98000000000002,47.76581908328314,31.97
TEST_2,5017849873,short,2,73285.0,73285.0,93.05,93.05,-18.53,-18.53,218,164,164,0.0,100.0,0.0
TEST_2,5017849873,short,3,223636.0,177865.0,570.98,482.46,-84.86,-69.44,939,398,441,-88.52000000000004,79.53325940367382,15.420000000000002
TEST_2,5017849873,short,4,62276.0,56080.0,300.29,268.42,-132.98,-125.08,122,65,53,-31.870000000000005,90.05074185882201,7.8999999999999915
TEST_2,5017849873,short,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,8,45388.0,39331.0,250.16,242.23,26.64,23.68,99,22,12,-7.930000000000007,86.65506301224994,-2.960000000000001
TEST_2,5017849873,short,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_2,5017849873,short,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,100.0,0.0
TEST_3,4524162672,short,1,119548.0,72431.0,429.43,350.13,-28.33,-1.6,623,205,102,-79.30000000000001,60.58737912804898,26.729999999999997
TEST_3,4524162672,short,2,82900.0,82900.0,125.24,125.24,-30.99,-30.99,251,166,166,0.0,100.0,0.0
