detector,fold,n_trades,win_rate,pf,avg_pnl,total_pnl,median_hold_bars,n_tp1,n_tp2,n_sl,n_expire
detect_long_dump_reversal,1,1534,14.3,0.61,-1.39,-2135.14,84.0,160,60,615,534
detect_long_dump_reversal,2,1495,13.8,0.7,-1.0,-1488.86,116.0,143,63,530,629
detect_long_dump_reversal,3,1793,7.9,0.8,-0.46,-815.95,120.0,106,36,391,958
detect_long_dump_reversal,4,1882,13.7,0.67,-1.04,-1952.28,117.0,189,69,639,808
detect_long_pdl_bounce,1,225,31.1,1.18,0.46,104.52,68.0,44,26,89,35
detect_long_pdl_bounce,2,239,37.2,1.35,0.83,198.9,93.0,52,37,90,43
detect_long_pdl_bounce,3,412,17.7,0.78,-0.48,-197.17,181.5,52,21,131,143
detect_long_pdl_bounce,4,302,21.9,0.89,-0.31,-94.55,92.5,38,28,132,75
detect_long_oversold_reclaim,1,25,8.0,0.47,-2.75,-68.66,54.0,1,1,17,6
detect_long_oversold_reclaim,2,23,13.0,0.28,-3.67,-84.48,127.0,3,0,14,6
detect_long_oversold_reclaim,3,14,14.3,0.2,-3.32,-46.55,72.5,2,0,8,4
detect_long_oversold_reclaim,4,37,8.1,0.26,-3.42,-126.5,75.0,0,3,24,10
detect_short_rally_fade,1,1800,12.7,0.69,-0.9,-1623.92,120.0,165,63,581,826
detect_short_rally_fade,2,2122,12.6,0.77,-0.61,-1301.85,120.0,194,74,585,1042
detect_short_rally_fade,3,2587,5.5,0.54,-1.08,-2786.48,120.0,100,42,547,1484
detect_short_rally_fade,4,1960,9.3,0.54,-1.39,-2718.46,120.0,153,29,614,942
detect_short_pdh_rejection,1,290,33.4,1.39,0.9,261.55,122.0,51,46,104,65
detect_short_pdh_rejection,2,385,25.2,0.66,-0.97,-373.85,111.0,67,30,170,81
detect_short_pdh_rejection,3,640,20.3,0.76,-0.53,-340.56,165.0,96,34,225,202
detect_short_pdh_rejection,4,372,19.6,0.8,-0.53,-195.35,159.5,41,32,142,126
detect_short_overbought_fade,1,59,23.7,0.77,-0.91,-53.98,74.0,6,8,34,11
detect_short_overbought_fade,2,54,14.8,0.62,-1.36,-73.24,108.5,3,5,29,17
detect_short_overbought_fade,3,60,15.0,0.4,-1.8,-108.0,153.5,6,3,30,21
detect_short_overbought_fade,4,43,9.3,0.1,-4.07,-175.01,70.0,4,0,33,6
detect_double_bottom_setup,1,1484,12.6,0.55,-1.65,-2443.12,180.0,153,34,46,1251
detect_double_bottom_setup,2,1872,9.1,0.79,-0.52,-966.3,180.0,150,21,22,1679
detect_double_bottom_setup,3,1768,8.6,0.62,-1.07,-1889.87,180.0,117,35,16,1600
detect_double_bottom_setup,4,1852,13.2,0.66,-1.09,-2022.18,180.0,203,41,14,1594
detect_double_top_setup,1,1800,16.6,0.88,-0.35,-637.49,180.0,221,78,28,1473
detect_double_top_setup,2,1380,15.4,0.66,-1.34,-1851.13,180.0,171,41,24,1144
detect_double_top_setup,3,1628,11.7,0.69,-0.82,-1333.24,180.0,167,23,4,1434
detect_double_top_setup,4,1436,16.9,0.73,-0.84,-1211.77,180.0,202,41,10,1183
detect_long_rsi_momentum_ga,1,212,38.2,1.16,1.22,259.23,382.0,35,46,112,19
detect_long_rsi_momentum_ga,2,224,39.7,0.93,-0.5,-112.42,734.5,59,30,108,27
detect_long_rsi_momentum_ga,3,232,27.6,1.29,1.76,408.85,1331.5,30,34,77,91
detect_long_rsi_momentum_ga,4,204,27.9,0.75,-2.1,-427.92,880.5,39,18,108,39
detect_short_mfi_multi_ga,1,8,0.0,0.39,-3.14,-25.13,60.0,0,0,2,6
detect_short_mfi_multi_ga,2,12,0.0,4.51,0.93,11.17,60.0,0,0,0,12
detect_short_mfi_multi_ga,3,16,0.0,0.49,-0.62,-9.97,60.0,0,0,0,16
detect_short_mfi_multi_ga,4,16,0.0,0.0,-2.35,-37.67,60.0,0,0,0,16
detect_long_div_bos_confirmed,1,40,25.0,2.08,4.97,198.67,720.0,10,0,10,20
detect_long_div_bos_confirmed,2,44,0.0,0.4,-3.17,-139.53,720.0,0,0,4,40
detect_long_div_bos_confirmed,3,52,0.0,0.53,-3.29,-170.89,720.0,0,0,17,35
detect_long_div_bos_confirmed,4,68,27.9,1.2,1.6,108.96,570.0,8,11,32,17
detect_long_div_bos_15m,1,43,16.3,1.52,1.48,63.45,240.0,6,1,8,28
detect_long_div_bos_15m,2,55,1.8,0.59,-1.79,-98.37,240.0,1,0,18,36
detect_long_div_bos_15m,3,72,0.0,0.72,-0.7,-50.49,240.0,0,0,7,65
detect_long_div_bos_15m,4,53,5.7,0.6,-1.69,-89.52,240.0,3,0,16,34
detect_short_div_bos_15m,1,39,17.9,0.59,-1.83,-71.4,120.0,7,0,9,23
detect_short_div_bos_15m,2,45,8.9,0.33,-2.99,-134.7,120.0,4,0,13,28
detect_short_div_bos_15m,3,41,0.0,0.28,-2.34,-95.93,120.0,0,0,5,36
detect_short_div_bos_15m,4,42,11.9,1.62,1.24,51.95,120.0,5,0,2,35
detect_long_multi_divergence,1,2664,20.8,0.58,-1.55,-4131.42,240.0,527,26,686,1424
detect_long_multi_divergence,2,2960,19.9,0.67,-1.29,-3822.23,240.0,516,73,775,1596
detect_long_multi_divergence,3,2508,10.0,0.67,-0.94,-2367.91,240.0,246,5,362,1895
detect_long_multi_divergence,4,3240,20.8,0.81,-0.63,-2049.87,240.0,569,106,657,1908
