ts,direction,score,horizon_min,move_pct,verdict
2026-04-12T13:00:00+00:00,downside,3,60,0.0,NEUTRAL
2026-04-12T13:00:00+00:00,downside,3,120,-0.183,NEUTRAL
2026-04-12T13:00:00+00:00,downside,3,240,0.081,NEUTRAL
2026-04-12T14:00:00+00:00,downside,4,60,0.016,NEUTRAL
2026-04-12T14:00:00+00:00,downside,4,120,0.158,NEUTRAL
2026-04-12T14:00:00+00:00,downside,4,240,0.534,TRUE
2026-04-13T22:00:00+00:00,upside,3,60,-0.162,NEUTRAL
2026-04-13T22:00:00+00:00,upside,3,120,-0.232,NEUTRAL
2026-04-13T22:00:00+00:00,upside,3,240,-0.356,TRUE
2026-04-13T23:00:00+00:00,upside,3,60,0.048,NEUTRAL
2026-04-13T23:00:00+00:00,upside,3,120,-0.43,TRUE
2026-04-13T23:00:00+00:00,upside,3,240,-0.149,NEUTRAL
2026-04-14T00:00:00+00:00,upside,3,60,-0.089,NEUTRAL
2026-04-14T00:00:00+00:00,upside,3,120,0.266,NEUTRAL
2026-04-14T00:00:00+00:00,upside,3,240,0.343,FALSE
2026-04-14T01:00:00+00:00,upside,3,60,-0.033,NEUTRAL
2026-04-14T01:00:00+00:00,upside,3,120,-0.106,NEUTRAL
2026-04-14T01:00:00+00:00,upside,3,240,-0.036,NEUTRAL
2026-04-14T02:00:00+00:00,upside,3,60,-0.032,NEUTRAL
2026-04-14T02:00:00+00:00,upside,3,120,0.117,NEUTRAL
2026-04-14T02:00:00+00:00,upside,3,240,-0.055,NEUTRAL
2026-04-14T03:00:00+00:00,upside,3,60,-0.035,NEUTRAL
2026-04-14T03:00:00+00:00,upside,3,120,-0.115,NEUTRAL
2026-04-14T03:00:00+00:00,upside,3,240,0.092,NEUTRAL
2026-04-14T04:00:00+00:00,upside,3,60,-0.039,NEUTRAL
2026-04-14T04:00:00+00:00,upside,3,120,-0.131,NEUTRAL
2026-04-14T04:00:00+00:00,upside,3,240,0.205,NEUTRAL
2026-04-14T06:00:00+00:00,upside,3,60,-0.014,NEUTRAL
2026-04-14T06:00:00+00:00,upside,3,120,0.023,NEUTRAL
2026-04-14T06:00:00+00:00,upside,3,240,-0.06,NEUTRAL
2026-04-14T07:00:00+00:00,upside,3,60,-0.008,NEUTRAL
2026-04-14T07:00:00+00:00,upside,3,120,0.265,NEUTRAL
2026-04-14T07:00:00+00:00,upside,3,240,-0.23,NEUTRAL
2026-04-14T08:00:00+00:00,upside,3,60,-0.009,NEUTRAL
2026-04-14T08:00:00+00:00,upside,3,120,-0.364,TRUE
2026-04-14T08:00:00+00:00,upside,3,240,-0.522,TRUE
2026-04-17T13:00:00+00:00,upside,3,60,0.133,NEUTRAL
2026-04-17T13:00:00+00:00,upside,3,120,0.741,FALSE
2026-04-17T13:00:00+00:00,upside,3,240,0.618,FALSE
2026-04-17T14:00:00+00:00,upside,3,60,0.034,NEUTRAL
2026-04-17T14:00:00+00:00,upside,3,120,-0.207,NEUTRAL
2026-04-17T14:00:00+00:00,upside,3,240,-0.519,TRUE
2026-04-17T15:00:00+00:00,upside,3,60,-0.076,NEUTRAL
2026-04-17T15:00:00+00:00,upside,3,120,0.043,NEUTRAL
2026-04-17T15:00:00+00:00,upside,3,240,-0.766,TRUE
2026-04-17T16:00:00+00:00,upside,3,60,-0.05,NEUTRAL
2026-04-17T16:00:00+00:00,upside,3,120,-0.481,TRUE
2026-04-17T16:00:00+00:00,upside,3,240,-0.577,TRUE
2026-04-17T17:00:00+00:00,upside,3,60,-0.049,NEUTRAL
2026-04-17T17:00:00+00:00,upside,3,120,-0.427,TRUE
2026-04-17T17:00:00+00:00,upside,3,240,-0.262,NEUTRAL
2026-04-19T21:00:00+00:00,downside,3,60,-0.426,FALSE
2026-04-19T21:00:00+00:00,downside,3,120,-0.621,FALSE
2026-04-19T21:00:00+00:00,downside,3,240,-0.132,NEUTRAL
2026-04-19T23:00:00+00:00,downside,3,60,0.039,NEUTRAL
2026-04-19T23:00:00+00:00,downside,3,120,0.711,TRUE
2026-04-19T23:00:00+00:00,downside,3,240,0.83,TRUE
2026-04-22T10:00:00+00:00,upside,3,60,0.017,NEUTRAL
2026-04-22T10:00:00+00:00,upside,3,120,0.154,NEUTRAL
2026-04-22T10:00:00+00:00,upside,3,240,0.804,FALSE
2026-04-22T11:00:00+00:00,upside,3,60,-0.029,NEUTRAL
2026-04-22T11:00:00+00:00,upside,3,120,-0.108,NEUTRAL
2026-04-22T11:00:00+00:00,upside,3,240,0.895,FALSE
2026-04-22T12:00:00+00:00,upside,3,60,-0.027,NEUTRAL
2026-04-22T12:00:00+00:00,upside,3,120,0.702,FALSE
2026-04-22T12:00:00+00:00,upside,3,240,1.391,FALSE
2026-04-22T13:00:00+00:00,upside,3,60,-0.07,NEUTRAL
2026-04-22T13:00:00+00:00,upside,3,120,0.203,NEUTRAL
2026-04-22T13:00:00+00:00,upside,3,240,-0.068,NEUTRAL
2026-04-22T14:00:00+00:00,upside,3,60,-0.057,NEUTRAL
2026-04-22T14:00:00+00:00,upside,3,120,0.352,FALSE
2026-04-22T14:00:00+00:00,upside,3,240,-0.119,NEUTRAL
2026-04-22T15:00:00+00:00,upside,3,60,0.065,NEUTRAL
2026-04-22T15:00:00+00:00,upside,3,120,-0.612,TRUE
2026-04-22T15:00:00+00:00,upside,3,240,-0.5,TRUE
2026-04-27T01:00:00+00:00,upside,3,60,-0.06,NEUTRAL
2026-04-27T01:00:00+00:00,upside,3,120,-0.213,NEUTRAL
2026-04-27T01:00:00+00:00,upside,3,240,-0.496,TRUE
2026-04-27T02:00:00+00:00,upside,3,60,-0.019,NEUTRAL
2026-04-27T02:00:00+00:00,upside,3,120,-0.027,NEUTRAL
2026-04-27T02:00:00+00:00,upside,3,240,-1.723,TRUE
2026-04-27T03:00:00+00:00,upside,3,60,0.004,NEUTRAL
2026-04-27T03:00:00+00:00,upside,3,120,-0.271,NEUTRAL
2026-04-27T03:00:00+00:00,upside,3,240,-1.781,TRUE
2026-05-01T13:00:00+00:00,upside,3,60,-0.034,NEUTRAL
2026-05-01T13:00:00+00:00,upside,3,120,-0.55,TRUE
2026-05-01T13:00:00+00:00,upside,3,240,-0.59,TRUE
2026-05-04T02:00:00+00:00,upside,4,60,-0.012,NEUTRAL
2026-05-04T02:00:00+00:00,upside,4,120,0.217,NEUTRAL
2026-05-04T02:00:00+00:00,upside,4,240,-0.166,NEUTRAL
2026-05-04T03:00:00+00:00,upside,4,60,0.038,NEUTRAL
2026-05-04T03:00:00+00:00,upside,4,120,0.093,NEUTRAL
2026-05-04T03:00:00+00:00,upside,4,240,-0.599,TRUE
2026-05-04T04:00:00+00:00,upside,4,60,0.074,NEUTRAL
2026-05-04T04:00:00+00:00,upside,4,120,-0.364,TRUE
2026-05-04T04:00:00+00:00,upside,4,240,-0.79,TRUE
